download_count,project
20910676,"mypy-boto3-iam"
20793141,"sphinxcontrib-htmlhelp"
20763891,"sphinxcontrib-qthelp"
20750113,"pip-tools"
20700689,"sphinxcontrib-applehelp"
20699618,"dbt-extractor"
20693358,"sphinxcontrib-devhelp"
20691712,"sagemaker"
20636058,"azure-batch"
20499756,"pyroaring"
20474613,"ua-parser"
20423353,"python-utils"
20254041,"pypdfium2"
20239804,"sphinxcontrib-jsmath"
20233873,"wcmatch"
20198690,"stevedore"
20196560,"gremlinpython"
20184707,"pkgutil-resolve-name"
20121681,"gcloud-aio-auth"
20086218,"id"
20085869,"cbor2"
19990794,"astronomer-cosmos"
19822558,"stripe"
19822420,"cssselect2"
19818363,"jira"
19795466,"oscrypto"
19711315,"texttable"
19701649,"tensorflow"
19643451,"bitarray"
19617221,"lazy-loader"
19586686,"requests-mock"
19538220,"azure-mgmt-resource"
19514748,"grpc-interceptor"
19499984,"gcloud-aio-bigquery"
19468463,"apache-airflow-providers-cncf-kubernetes"
19456471,"wandb"
19328502,"sagemaker-studio"
19325959,"mypy-boto3-batch"
19296535,"flit-core"
19208129,"aiohttp-retry"
19194351,"pymdown-extensions"
19112401,"types-cachetools"
19111837,"kafka-python"
19110665,"hyperlink"
19096915,"flask-limiter"
19071088,"pymilvus"
19067734,"types-toml"
19043145,"opt-einsum"
18971815,"click-option-group"
18858126,"apache-airflow-providers-databricks"
18740359,"flask-login"
18710173,"pyproj"
18708460,"opencensus"
18692107,"accelerate"
18683332,"kubernetes-asyncio"
18644302,"tensorboard-data-server"
18557458,"py-cpuinfo"
18437888,"datadog-api-client"
18388490,"jsonpickle"
18363490,"djangorestframework"
18301188,"cached-property"
18298339,"markdownify"
18277212,"pathlib-abc"
18220079,"youtube-transcript-api"
18204119,"argparse"
18202350,"opencensus-context"
18174930,"oracledb"
18134533,"userpath"
17898465,"sentence-transformers"
17895177,"apache-airflow-providers-snowflake"
17888734,"pydeck"
17865332,"google-cloud-translate"
17855664,"levenshtein"
17836643,"snowplow-tracker"
17825722,"gast"
17772400,"pathos"
17715614,"daff"
17706426,"temporalio"
17701872,"aws-lambda-powertools"
17563741,"pytest-html"
17551560,"azure-servicebus"
17509250,"joserfc"
17491886,"aws-xray-sdk"
17452757,"einops"
17432030,"jpype1"
17390407,"looker-sdk"
17357690,"bidict"
17342967,"time-machine"
17317113,"py-key-value-shared"
17313607,"pyexasol"
17299336,"singer-sdk"
17280239,"spacy"
17191638,"pdfplumber"
17186504,"fasteners"
17052989,"deltalake"
17043544,"murmurhash"
17043079,"smdebug-rulesconfig"
17005088,"statsd"
17004173,"partd"
16925697,"databricks-labs-blueprint"
16922309,"strictyaml"
16906121,"locket"
16861993,"google-cloud-container"
16856418,"cron-descriptor"
16838316,"natsort"
16825098,"pox"
16810920,"google-cloud-datacatalog"
16806216,"opentelemetry-instrumentation-logging"
16780827,"ppft"
16769191,"jax"
16734909,"apache-airflow"
16734327,"pinecone"
16706948,"eval-type-backport"
16684888,"python-pptx"
16577784,"grpclib"
16557290,"pyotp"
16545609,"google-cloud-build"
16462172,"python-gitlab"
16439684,"parse"
16409627,"cymem"
16402834,"ua-parser-builtins"
16396298,"blis"
16370378,"emoji"
16332038,"jwcrypto"
16331628,"tifffile"
16292890,"catalogue"
16285880,"cloudpathlib"
16248489,"google-cloud-dataplex"
16219871,"azure-mgmt-storage"
16189533,"preshed"
16186770,"curl-cffi"
16056574,"sqlalchemy-spanner"
16002472,"keyrings-google-artifactregistry-auth"
15978302,"gql"
15957492,"google-cloud-storage-transfer"
15943891,"pytest-env"
15936138,"ydb"
15886563,"maxminddb"
15852018,"srsly"
15832488,"thinc"
15753122,"sh"
15725671,"pyspnego"
15717400,"simpleeval"
15666132,"opentelemetry-distro"
15648391,"strenum"
15629235,"pydantic-ai-slim"
15591682,"wasabi"
15551996,"watchtower"
15549255,"keras"
15530762,"fastapi-cloud-cli"
15508457,"python-daemon"
15492267,"pybase64"
15445718,"azure-storage-file-share"
15431980,"pyathena"
15409992,"makefun"
15408195,"pickleshare"
15385689,"factory-boy"
15324862,"azure-mgmt-containerservice"
15261984,"pydub"
15202951,"pyproject-api"
15199053,"spacy-legacy"
15119089,"torchaudio"
15040403,"tritonclient"
15032489,"python-socketio"
15023385,"google-generativeai"
15015674,"python-engineio"
15013654,"spacy-loggers"
15000140,"fastparquet"
14983509,"docopt"
14969607,"backcall"
14933947,"parameterized"
14922592,"ty"
14916914,"amazon-ion"
14915207,"clickhouse-connect"
14901873,"rich-argparse"
14896377,"pydot"
14879198,"fuzzywuzzy"
14861213,"python-gnupg"
14849592,"fire"
14832043,"immutabledict"
14809043,"apache-airflow-providers-common-compat"
14780840,"hiredis"
14770844,"grpcio-gcp"
14757715,"simple-websocket"
14746801,"geopandas"
14743236,"xarray"
14703847,"azure-keyvault-keys"
14689879,"bandit"
14682862,"python-discovery"
14662337,"unidiff"
14639356,"cmake"
14615675,"apache-airflow-providers-mysql"
14517055,"rignore"
14498779,"jupyter-console"
14437307,"jupyter"
14428616,"apache-airflow-providers-ssh"
14418182,"soundfile"
14410785,"mkdocs-material"
14404293,"confection"
14344398,"boltons"
14323856,"django-cors-headers"
14314240,"geoip2"
14308742,"resolvelib"
14305739,"wtforms"
14299032,"pinecone-plugin-assistant"
14284738,"pgvector"
